frame_path,mean_intensity,std_intensity,edge_density,histogram_diff,ssim,edge_diff
data\frames\input_video_1\input_video_1_frame_00060_60.00s.jpg,46.68775173611111,55.94879883696768,0.03732204861111111,0.06005289022122203,0.8451717887375566,6.076171875
data\frames\input_video_1\input_video_1_frame_00061_61.00s.jpg,43.832942708333334,60.58261762977223,0.04648003472222222,0.23631484961980131,0.7488107074731947,8.730208333333334
data\frames\input_video_1\input_video_1_frame_00062_62.00s.jpg,43.658129340277775,59.725340131239925,0.04318142361111111,0.11494851675599914,0.8673084400772664,4.838802083333333
data\frames\input_video_1\input_video_1_frame_00063_63.00s.jpg,48.319500868055556,56.8911520708823,0.040368923611111114,0.19968151895191136,0.7574261137539474,9.458463541666667
data\frames\input_video_1\input_video_1_frame_00064_64.00s.jpg,49.56233940972222,58.22866310974343,0.04645833333333333,0.08776537869202845,0.7631850965261339,10.499934895833333
data\frames\input_video_1\input_video_1_frame_00065_65.00s.jpg,48.20569878472222,59.81773445680375,0.04725694444444444,0.09118016703445393,0.7991449581567607,7.171875
data\frames\input_video_1\input_video_1_frame_00066_66.00s.jpg,49.85931423611111,58.082411062876425,0.04353298611111111,0.12327009700124762,0.7805164167071267,7.970963541666666
data\frames\input_video_1\input_video_1_frame_00067_67.00s.jpg,49.0967578125,58.02606656448939,0.044483506944444445,0.049289557878072196,0.8390426992114093,6.553190104166666
data\frames\input_video_1\input_video_1_frame_00068_68.00s.jpg,47.548198784722224,59.66337335070391,0.04375,0.18026886148125534,0.7393488711608494,9.793815104166667
data\frames\input_video_1\input_video_1_frame_00069_69.00s.jpg,48.741796875,60.702339110674735,0.04258680555555556,0.06799155662403512,0.8330714428076254,6.184635416666667
data\frames\input_video_1\input_video_1_frame_00070_70.00s.jpg,48.814127604166664,56.413794202117415,0.04022135416666667,0.17306045661619288,0.6794775621675913,12.751106770833333
data\frames\input_video_1\input_video_1_frame_00071_71.00s.jpg,49.34573350694444,58.270716947582095,0.047764756944444445,0.07386762229512475,0.7626936411057266,10.275260416666667
data\frames\input_video_1\input_video_1_frame_00072_72.00s.jpg,51.599231770833335,58.011708111860116,0.047621527777777777,0.08238016534469733,0.7994277084927613,8.698111979166667
data\frames\input_video_1\input_video_1_frame_00073_73.00s.jpg,48.820078125,57.83541863730416,0.04474826388888889,0.08435241901394214,0.7746113905563448,9.963151041666666
data\frames\input_video_1\input_video_1_frame_00074_74.00s.jpg,51.28925347222222,58.51486779073928,0.04559027777777778,0.06843609578027464,0.7914113507128,9.208333333333334
data\frames\input_video_1\input_video_1_frame_00075_75.00s.jpg,50.46635416666667,57.56445749994918,0.04609375,0.09846615481072442,0.7826853676269182,9.307942708333334
data\frames\input_video_1\input_video_1_frame_00076_76.00s.jpg,48.037708333333335,58.392764605642114,0.045915798611111114,0.1252349089887588,0.7572716388575927,9.337825520833333
data\frames\input_video_1\input_video_1_frame_00077_77.00s.jpg,50.73927517361111,58.18994978578216,0.045147569444444445,0.11460045653344905,0.7503065681086514,9.475065104166667
data\frames\input_video_1\input_video_1_frame_00078_78.00s.jpg,52.119053819444446,59.64217724975215,0.04785590277777778,0.07707926816436406,0.7861966059263555,9.423046875
data\frames\input_video_1\input_video_1_frame_00079_79.00s.jpg,49.05023871527778,58.4021920773488,0.047565104166666664,0.10130898002100089,0.7555187467801386,10.074934895833334
data\frames\input_video_1\input_video_1_frame_00080_80.00s.jpg,51.653958333333335,59.96844948791303,0.049340277777777775,0.09504780034185957,0.8055198098271442,8.7025390625
data\frames\input_video_1\input_video_1_frame_00081_81.00s.jpg,51.46424045138889,58.88457611792766,0.050099826388888886,0.07123251573236909,0.8362374197808028,7.921158854166666
data\frames\input_video_1\input_video_1_frame_00082_82.00s.jpg,49.82118923611111,58.46583097240687,0.045603298611111114,0.06712390227269281,0.7683348179133559,8.986979166666666
